"","carat","cut","color","clarity","total_depth_percent","table","price ($)","length (mm)","width (mm)","depth (mm)"
"1",0.51,"Fair","D","SI1",65.2,55,1304,5.05,5.01,3.28
"2",0.96,"Fair","F","I1",62.9,66,1917,6.29,6.07,3.91
"3",1.18,"Fair","I","VS2",62,66,4553,6.75,6.63,4.16
"4",0.81,"Fair","H","SI2",66.2,58,1687,5.78,5.74,3.81
"5",0.51,"Fair","D","SI2",66.5,58,1109,4.95,4.89,3.27
"6",1.01,"Fair","D","SI2",64.6,58,10011,6.25,6.2,4.02
"7",0.53,"Fair","F","VS2",65.5,58,1402,5.09,5.03,3.31
"8",0.5,"Fair","H","VS2",56.3,65,1332,5.24,5.21,2.94
"9",0.7,"Fair","J","VS2",64.6,58,1672,5.58,5.56,3.6
"10",0.41,"Fair","G","VVS2",64.7,56,833,4.68,4.72,3.04
"11",2.22,"Fair","G","SI2",64.4,58,12508,8.32,8.15,5.3
"12",0.98,"Fair","G","I1",68,63,1749,6.13,6.02,4.13
"13",1.01,"Fair","F","SI1",65.9,58,4276,6.16,6.1,4.04
"14",0.47,"Fair","E","VS2",56.3,64,1075,5.19,5.14,2.91
"15",2.5,"Fair","J","SI2",66.9,58,14652,8.36,8.22,5.55
"16",1.01,"Fair","H","VVS2",65,55,4355,6.31,6.27,4.09
"17",2.1,"Fair","G","SI2",61.4,66,11946,8.26,8.19,5.05
"18",0.45,"Fair","E","VS2",66.9,60,980,4.78,4.71,3.18
"19",1.01,"Fair","I","I1",56.1,63,2342,6.7,6.65,3.74
"20",1.12,"Fair","I","SI2",64.6,57,3669,6.5,6.47,4.19
"21",1.01,"Fair","E","VS2",65.3,59,5882,6.15,6.1,4
"22",0.54,"Fair","F","SI1",61.4,66,1114,5.24,5.18,3.2
"23",1.5,"Fair","E","SI2",59.9,68,8190,7.39,7.3,4.4
"24",1.45,"Fair","F","I1",64.8,67,4320,7.16,7,4.64
"25",0.33,"Fair","F","VVS2",65.7,54,693,4.37,4.3,2.85
"26",0.71,"Fair","F","SI1",62.6,57,2088,5.73,5.68,3.57
"27",0.5,"Fair","F","VS2",64.9,58,1225,4.99,4.9,3.21
"28",0.63,"Fair","H","VS1",57.3,62.5,1760,5.65,5.7,3.25
"29",1.5,"Fair","H","I1",66.6,54,4939,7.05,7.01,4.68
"30",0.7,"Fair","G","SI1",66,53,1949,5.53,5.47,3.63
"31",1.47,"Fair","F","SI2",65.9,59,6108,6.99,6.94,4.59
"32",4.13,"Fair","H","I1",64.8,61,17329,10,9.85,6.43
"33",0.7,"Fair","I","SI2",65.9,58,1625,5.46,5.5,3.61
"34",0.85,"Fair","G","VS1",57.7,67,2998,6.26,6.19,3.59
"35",1.02,"Fair","F","SI1",65.1,56,4462,6.29,6.25,4.08
"36",2.6,"Fair","G","SI2",64.6,57,17027,8.6,8.55,5.54
"37",2.01,"Fair","J","SI1",64.4,61,11212,7.74,7.78,5
"38",0.9,"Fair","J","VS1",65.4,60,2964,6.02,5.93,3.91
"39",0.69,"Fair","I","VS1",57.9,63,1692,5.73,5.77,3.33
"40",0.9,"Fair","I","VS2",65.4,60,3246,6.03,5.96,3.93
"41",1.5,"Fair","F","SI2",65.4,58,7644,7.17,7.1,4.67
"42",0.77,"Fair","I","VVS2",59.2,66,2292,5.96,5.9,3.51
"43",1.01,"Fair","H","SI1",66.4,57,3546,6.12,6.08,4.05
"44",1,"Fair","E","VVS2",65.4,56,7918,6.28,6.2,4.08
"45",2.01,"Fair","J","VS1",66.6,54,14402,7.76,7.92,5.22
"46",0.92,"Fair","F","SI2",65.1,58,3282,6.12,6.07,3.97
"47",0.9,"Fair","H","SI2",65.8,54,2823,6.05,5.98,3.96
"48",1,"Fair","H","SI2",67,55,2912,6.25,6.12,4.16
"49",1,"Fair","E","SI2",64.6,54,3763,6.33,6.27,4.07
"50",0.35,"Fair","G","VS2",65.9,54,1415,5.57,5.53,3.66
"51",0.68,"Fair","G","SI1",58,71,1633,5.85,5.7,3.35
"52",0.52,"Fair","F","IF",64.6,58,2144,5.04,5.17,3.3
"53",0.9,"Fair","F","VS2",65.7,57,3750,6.03,5.99,3.95
"54",2.02,"Fair","H","SI2",56.5,61,14080,8.33,8.37,4.72
"55",0.9,"Fair","E","SI2",65,58,2930,6.08,6.04,3.94
"56",0.76,"Fair","G","VS1",59,70,2800,5.89,5.8,3.46
"57",1.04,"Fair","E","SI2",67.5,56,4566,6.28,6.22,4.22
"58",0.9,"Fair","E","SI2",64.5,55,3084,6.12,6.03,3.92
"59",1.5,"Fair","H","SI1",65.9,56,7211,7.11,7.04,4.66
"60",1.5,"Fair","E","SI1",58.2,66,11128,7.45,7.4,4.32
"61",0.5,"Fair","G","SI2",65.6,56,1035,4.99,4.92,3.25
"62",2,"Fair","J","SI1",66.4,55,11189,7.82,7.67,5.15
"63",0.96,"Fair","I","SI2",66.3,58,2540,6.07,5.9,3.97
"64",1,"Fair","D","VS1",55.9,60,7083,6.77,6.71,4.38
"65",1.03,"Fair","G","SI1",64.7,63,4424,6.36,6.31,4.1
"66",1.53,"Fair","I","VS2",57.7,69,8996,7.6,7.51,4.36
"67",0.81,"Fair","G","VVS2",64.8,56.2,3323,5.82,5.98,3.82
"68",0.7,"Fair","J","VVS1",67.6,54,1691,5.56,5.41,3.71
"69",0.9,"Fair","I","SI2",67.7,61,2422,6.04,5.86,4.03
"70",0.71,"Fair","G","VS1",65.5,55,2686,5.62,5.53,3.65
"71",1.5,"Fair","F","SI1",64.6,60,11154,7.18,7.1,4.61
"72",0.75,"Fair","D","SI1",65.1,57,2376,5.64,5.6,3.66
"73",1.23,"Fair","E","I1",67.4,56,3692,6.76,6.56,4.49
"74",0.72,"Fair","D","SI1",65.6,60,2364,5.62,5.54,3.66
"75",0.92,"Fair","F","SI1",66,57,3323,6.04,5.99,3.97
"76",1,"Fair","J","VS2",65.3,61,3422,6.33,6.13,4.03
"77",0.9,"Fair","F","VS2",64.7,54,3931,6.09,6.03,3.92
"78",0.84,"Fair","D","SI2",64.5,60,2167,5.92,5.84,3.79
"79",0.71,"Fair","G","SI2",65.6,61,1994,5.46,5.37,3.55
"80",1.43,"Fair","I","VS1",50.8,60,6727,7.73,7.25,3.93
"81",0.7,"Fair","I","VS2",66.1,56,1814,5.53,5.48,3.64
"82",0.41,"Fair","D","VVS2",64.5,57,1089,4.68,4.65,3.01
"83",0.9,"Fair","I","VS2",65.8,55,2666,6.05,6.01,3.97
"84",1,"Fair","F","SI1",62.6,59,4925,6.25,6.3,3.93
"85",1.01,"Fair","J","VVS2",66,56,2998,6.29,6.22,4.13
"86",1.01,"Fair","F","VS2",65.1,59,5784,6.17,6.21,4.03
"87",1.02,"Fair","H","VS1",71.8,56,4455,6.04,5.97,4.31
"88",0.96,"Fair","F","SI2",65.2,58,3688,6.14,6.12,3.99
"89",0.71,"Fair","E","VS2",64.6,59,2902,5.62,5.59,3.62
"90",0.5,"Fair","E","SI2",65.2,57,1141,4.96,4.91,3.22
"91",0.9,"Fair","I","SI1",65.8,56,2873,6.01,5.96,3.94
"92",1,"Fair","D","SI1",65.9,54,4704,6.24,6.2,4.1
"93",0.39,"Fair","G","IF",57.1,61,1127,4.83,4.88,2.77
"94",1.64,"Fair","E","SI2",63.1,60,8954,7.58,7.5,4.75
"95",0.7,"Fair","I","I1",66.3,63,1014,5.58,5.43,3.66
"96",0.5,"Fair","E","SI2",59.8,66,1114,5.18,5.09,3.07
"97",1.17,"Fair","H","SI2",60,66,4717,6.86,6.78,4.09
"98",0.9,"Fair","G","SI2",55.9,62,3104,6.35,6.42,3.57
"99",1.52,"Fair","H","SI1",64.6,55,7433,7.24,7.19,4.66
"100",0.5,"Fair","G","VS2",65.1,56,1238,5.02,4.99,3.26
"101",1,"Fair","H","VS2",66.8,63,4166,6.19,6.08,4.1
"102",0.78,"Fair","G","SI1",64.6,56,2359,5.86,5.79,3.76
"103",0.5,"Fair","F","I1",57.5,66,827,5.3,5.17,3.01
"104",0.7,"Fair","E","SI2",65,54,2600,5.56,5.52,3.6
"105",0.31,"Fair","F","SI1",64.7,56,618,4.28,4.25,2.76
"106",2.01,"Fair","H","SI2",65.3,56,10772,7.95,7.86,5.16
"107",1.83,"Fair","J","I1",70,58,5083,7.34,7.28,5.12
"108",0.9,"Fair","I","SI2",66.4,60,2948,5.92,5.86,3.91
"109",1.6,"Fair","D","SI2",64.7,58,8666,7.35,7.28,4.73
"110",0.9,"Fair","J","SI1",64.6,61,2438,5.92,5.87,3.81
"111",0.9,"Fair","D","SI1",63.8,61,4252,6.07,5.99,3.85
"112",2.01,"Fair","H","SI2",64.9,56,10184,7.88,7.81,5.09
"113",1.51,"Fair","G","I1",65.6,54,4167,7.28,7.1,4.72
"114",1.98,"Fair","H","VS1",58.3,69,12923,8.28,8.17,4.8
"115",1.54,"Fair","I","SI2",65,56,6375,7.22,7.14,4.67
"116",0.9,"Fair","I","VVS2",67,56,3074,5.91,5.83,3.93
"117",0.4,"Fair","D","SI1",65.1,55,644,4.63,4.68,3.03
"118",1,"Fair","G","SI1",66.2,58,4295,6.25,6.15,4.11
"119",0.5,"Fair","G","VS1",66.5,58,1234,4.99,4.9,3.29
"120",0.95,"Fair","J","SI1",58,66,3154,6.5,6.46,3.76
"121",1,"Fair","F","SI1",65.8,58,4657,6.23,6.15,4.07
"122",1.01,"Fair","G","SI2",64.7,58,3856,6.14,6.23,4
"123",0.5,"Fair","H","VS1",66.6,58,1134,4.95,4.84,3.26
"124",0.71,"Fair","G","VS2",65.7,56,2274,5.51,5.54,3.63
"125",0.59,"Fair","G","I1",64.6,56,903,5.26,5.2,3.38
"126",0.85,"Fair","G","I1",62.7,60,1651,6.05,5.96,3.77
"127",1.52,"Fair","F","SI2",56.3,64,8938,7.68,7.62,4.31
"128",0.59,"Fair","I","VS1",64.4,59,1229,5.29,5.21,3.38
"129",3.4,"Fair","D","I1",66.8,52,15964,9.42,9.34,6.27
"130",0.4,"Fair","E","VS2",64.7,58,813,4.63,4.67,3.01
"131",1.01,"Fair","F","SI2",65.3,59,4317,6.28,6.24,4.09
"132",1,"Fair","G","SI2",67.8,61,2856,5.96,5.9,4.02
"133",2.58,"Fair","F","SI2",65.2,59,12500,8.58,8.51,5.57
"134",1.96,"Fair","F","I1",66.6,60,5554,7.59,7.56,5.04
"135",1.03,"Fair","D","SI2",66.4,56,3743,6.31,6.19,4.15
"136",1,"Fair","E","VS2",66.4,51,4480,6.31,6.22,4.16
"137",0.5,"Fair","F","I1",67.1,57,627,4.92,4.87,3.28
"138",0.5,"Fair","H","VS1",67.1,58,1134,4.94,4.89,3.3
"139",0.71,"Fair","D","SI1",65.1,59,2352,5.59,5.56,3.63
"140",1.5,"Fair","J","VS1",60.1,61,7819,7.25,7.3,4.37
"141",1,"Fair","F","VS1",65.3,56,5833,6.28,6.25,4.09
"142",0.7,"Fair","G","SI1",61.7,66,2352,5.7,5.58,3.48
"143",1.03,"Fair","E","I1",78.2,54,1262,5.72,5.59,4.42
"144",0.5,"Fair","F","SI1",64.7,57,1181,4.99,4.94,3.21
"145",1.1,"Fair","E","SI1",65.5,57,3891,6.45,6.37,4.2
"146",2.01,"Fair","H","SI2",64.9,56,10184,7.88,7.81,5.09
"147",0.22,"Fair","E","VS2",65.1,61,337,3.87,3.78,2.49
"148",1.01,"Fair","F","SI2",60.1,66,3597,6.44,6.41,3.86
"149",0.5,"Fair","D","SI1",65.7,56,1323,5.01,4.97,3.28
"150",0.41,"Fair","I","VS1",65.3,58,735,4.62,4.66,3.03
"151",2,"Fair","J","I1",66.5,56,6796,7.93,7.8,5.23
"152",0.25,"Fair","E","VS1",55.2,64,361,4.21,4.23,2.33
